URL;Start Time;End Time;Response Time;Latency;Status Code
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.615Z;2023-12-08T13:50:43.039Z;1.42s;1.42s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.609Z;2023-12-08T13:50:43.049Z;1.44s;1.44s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.610Z;2023-12-08T13:50:43.057Z;1.45s;1.45s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.613Z;2023-12-08T13:50:43.075Z;1.46s;1.46s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:41.612Z;2023-12-08T13:50:43.086Z;1.47s;1.47s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.100Z;2023-12-08T13:50:45.380Z;1.28s;1.28s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.108Z;2023-12-08T13:50:45.388Z;1.28s;1.28s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.109Z;2023-12-08T13:50:45.400Z;1.29s;1.29s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.103Z;2023-12-08T13:50:45.416Z;1.31s;1.31s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.106Z;2023-12-08T13:50:45.417Z;1.31s;1.31s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.108Z;2023-12-08T13:50:45.421Z;1.31s;1.31s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.096Z;2023-12-08T13:50:45.439Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.108Z;2023-12-08T13:50:45.440Z;1.33s;1.33s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.111Z;2023-12-08T13:50:45.458Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.110Z;2023-12-08T13:50:45.465Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.110Z;2023-12-08T13:50:45.468Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.112Z;2023-12-08T13:50:45.469Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.109Z;2023-12-08T13:50:45.474Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.111Z;2023-12-08T13:50:45.476Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:44.111Z;2023-12-08T13:50:45.514Z;1.40s;1.40s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.528Z;2023-12-08T13:50:47.843Z;1.31s;1.31s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.522Z;2023-12-08T13:50:47.844Z;1.32s;1.32s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.530Z;2023-12-08T13:50:47.858Z;1.33s;1.33s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.534Z;2023-12-08T13:50:47.860Z;1.33s;1.33s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.533Z;2023-12-08T13:50:47.874Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.535Z;2023-12-08T13:50:47.875Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.525Z;2023-12-08T13:50:47.877Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.534Z;2023-12-08T13:50:47.878Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.537Z;2023-12-08T13:50:47.891Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.535Z;2023-12-08T13:50:47.893Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.536Z;2023-12-08T13:50:47.905Z;1.37s;1.37s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.537Z;2023-12-08T13:50:47.929Z;1.39s;1.39s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.536Z;2023-12-08T13:50:47.930Z;1.39s;1.39s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.538Z;2023-12-08T13:50:47.932Z;1.39s;1.39s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:46.536Z;2023-12-08T13:50:47.960Z;1.42s;1.42s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.975Z;2023-12-08T13:50:50.276Z;1.30s;1.30s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.982Z;2023-12-08T13:50:50.277Z;1.29s;1.29s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.971Z;2023-12-08T13:50:50.293Z;1.32s;1.32s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.985Z;2023-12-08T13:50:50.320Z;1.33s;1.33s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.985Z;2023-12-08T13:50:50.322Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.980Z;2023-12-08T13:50:50.336Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.977Z;2023-12-08T13:50:50.339Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.984Z;2023-12-08T13:50:50.344Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.986Z;2023-12-08T13:50:50.352Z;1.37s;1.37s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.987Z;2023-12-08T13:50:50.354Z;1.37s;1.37s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.983Z;2023-12-08T13:50:50.384Z;1.40s;1.40s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.984Z;2023-12-08T13:50:50.385Z;1.40s;1.40s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.983Z;2023-12-08T13:50:50.400Z;1.42s;1.42s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.984Z;2023-12-08T13:50:50.429Z;1.45s;1.45s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:48.986Z;2023-12-08T13:50:50.432Z;1.45s;1.45s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.449Z;2023-12-08T13:50:52.842Z;1.39s;1.39s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.452Z;2023-12-08T13:50:52.851Z;1.40s;1.40s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.451Z;2023-12-08T13:50:52.860Z;1.41s;1.41s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.451Z;2023-12-08T13:50:52.875Z;1.42s;1.42s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.451Z;2023-12-08T13:50:52.882Z;1.43s;1.43s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.453Z;2023-12-08T13:50:52.898Z;1.45s;1.45s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.448Z;2023-12-08T13:50:52.906Z;1.46s;1.46s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.454Z;2023-12-08T13:50:52.917Z;1.46s;1.46s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.449Z;2023-12-08T13:50:52.925Z;1.48s;1.48s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.453Z;2023-12-08T13:50:52.930Z;1.48s;1.48s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.448Z;2023-12-08T13:50:52.932Z;1.48s;1.48s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.455Z;2023-12-08T13:50:52.935Z;1.48s;1.48s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.447Z;2023-12-08T13:50:52.936Z;1.49s;1.49s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.452Z;2023-12-08T13:50:52.940Z;1.49s;1.49s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:51.449Z;2023-12-08T13:50:52.952Z;1.50s;1.50s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.957Z;2023-12-08T13:50:55.209Z;1.25s;1.25s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.957Z;2023-12-08T13:50:55.210Z;1.25s;1.25s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.961Z;2023-12-08T13:50:55.219Z;1.26s;1.26s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.961Z;2023-12-08T13:50:55.228Z;1.27s;1.27s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.956Z;2023-12-08T13:50:55.246Z;1.29s;1.29s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.960Z;2023-12-08T13:50:55.280Z;1.32s;1.32s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.962Z;2023-12-08T13:50:55.289Z;1.33s;1.33s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.959Z;2023-12-08T13:50:55.294Z;1.33s;1.33s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.960Z;2023-12-08T13:50:55.299Z;1.34s;1.34s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.958Z;2023-12-08T13:50:55.307Z;1.35s;1.35s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.957Z;2023-12-08T13:50:55.321Z;1.36s;1.36s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.959Z;2023-12-08T13:50:55.329Z;1.37s;1.37s;201
https://8322cbcz5p.us-east-2.awsapprunner.com/v1/transactions;2023-12-08T13:50:53.958Z;2023-12-08T13:50:55.333Z;1.38s;1.38s;201
